iter	Passed	Remaining
0	4	4444
1	8	4447
2	13	4336
3	17	4461
4	21	4339
5	25	4271
6	30	4321
7	34	4315
8	39	4307
9	43	4278
10	47	4310
11	52	4310
12	56	4310
13	61	4313
14	65	4290
15	69	4291
16	74	4281
17	78	4303
18	83	4311
19	87	4302
20	92	4297
21	96	4307
22	101	4297
23	105	4291
24	109	4289
25	114	4296
26	118	4286
27	123	4286
28	128	4296
29	132	4284
30	136	4277
31	140	4265
32	145	4267
33	149	4260
34	154	4255
35	158	4249
36	163	4251
37	167	4242
38	171	4235
39	176	4241
40	181	4237
41	185	4238
42	190	4233
43	195	4246
44	200	4249
45	204	4240
46	209	4255
47	214	4253
48	219	4254
49	223	4255
50	228	4244
51	232	4240
52	236	4229
53	241	4228
54	246	4231
55	250	4223
56	255	4220
57	260	4228
58	265	4227
59	269	4225
60	274	4221
61	279	4233
62	284	4235
63	289	4237
64	295	4245
65	300	4249
66	305	4250
67	310	4258
68	315	4257
69	320	4260
70	326	4267
71	330	4265
72	336	4272
73	341	4277
74	346	4276
75	352	4281
76	358	4292
77	363	4296
78	368	4298
79	374	4303
80	379	4304
81	384	4303
82	389	4305
83	395	4308
84	400	4309
85	405	4310
86	410	4310
87	416	4311
88	421	4311
89	427	4317
90	432	4317
91	437	4315
92	442	4315
93	447	4313
94	452	4315
95	457	4312
96	463	4312
97	468	4311
98	473	4313
99	479	4312
100	484	4310
101	489	4311
102	494	4303
103	498	4297
104	503	4291
105	508	4288
106	513	4283
107	518	4279
108	522	4274
109	527	4271
110	532	4266
111	537	4261
112	543	4262
113	548	4261
114	553	4257
115	558	4253
116	562	4247
117	567	4241
118	572	4240
119	577	4237
120	582	4232
121	587	4230
122	592	4227
123	597	4223
124	602	4217
125	607	4216
126	612	4212
127	617	4205
128	622	4204
129	627	4199
130	632	4194
131	637	4193
132	642	4188
133	647	4184
134	652	4180
135	657	4176
136	662	4172
137	667	4167
138	672	4164
139	677	4161
140	682	4156
141	687	4154
142	692	4153
143	697	4148
144	703	4145
145	708	4143
146	713	4138
147	718	4134
148	724	4136
149	729	4131
150	734	4127
151	739	4125
152	744	4119
153	749	4114
154	754	4112
155	759	4108
156	764	4105
157	769	4101
158	774	4096
159	779	4092
160	785	4093
161	790	4088
162	795	4082
163	799	4077
164	805	4073
165	810	4072
166	816	4071
167	821	4069
168	826	4064
169	831	4059
170	836	4055
171	841	4050
172	846	4044
173	852	4045
174	857	4041
175	862	4037
176	868	4036
177	873	4033
178	878	4027
179	883	4025
180	888	4020
181	893	4014
182	897	4007
183	902	4003
184	907	3999
185	912	3994
186	918	3991
187	923	3988
