iter	Passed	Remaining
0	13	1303
1	26	1286
2	37	1212
3	45	1089
4	61	1170
5	72	1134
6	78	1045
7	85	984
8	92	934
9	101	915
10	109	885
11	117	861
12	125	839
13	134	823
14	141	799
15	148	782
16	155	761
17	163	747
18	169	724
19	177	708
20	183	691
21	190	674
22	197	660
23	202	642
24	208	625
25	214	611
26	220	596
27	226	582
28	232	569
29	238	555
30	245	545
31	250	533
32	256	521
33	263	511
34	270	501
35	275	490
36	281	478
37	286	467
38	291	456
39	296	445
40	301	433
41	306	422
42	311	412
43	316	402
44	321	392
45	327	383
46	332	374
47	337	365
48	342	356
49	347	347
50	352	338
51	357	330
52	363	322
53	368	314
54	373	305
55	379	297
56	384	290
57	389	281
58	394	274
59	399	266
60	404	258
61	410	251
62	415	243
63	419	236
64	425	229
65	431	222
66	435	214
67	441	207
68	446	200
69	451	193
70	455	186
71	461	179
72	466	172
73	471	165
74	476	158
75	481	152
76	485	144
77	490	138
78	495	131
79	500	125
80	505	118
81	509	111
82	514	105
83	519	98
84	524	92
85	528	86
86	533	79
87	538	73
88	542	67
89	546	60
90	551	54
91	556	48
92	560	42
93	565	36
94	570	30
95	575	23
96	580	17
97	584	11
98	590	5
99	594	0
