iter	Passed	Remaining
0	60	60371
1	62	30946
2	63	21190
3	65	16407
4	67	13473
5	69	11503
6	71	10094
7	72	9037
8	75	8260
9	76	7605
10	78	7083
11	80	6650
12	82	6271
13	84	5936
14	85	5646
15	88	5421
16	90	5209
17	92	5048
18	94	4871
19	95	4699
20	97	4546
21	99	4413
22	100	4281
23	102	4159
24	103	4045
25	105	3940
26	107	3866
27	108	3783
28	110	3703
29	112	3630
30	113	3559
31	115	3494
32	116	3428
33	118	3363
34	119	3303
35	121	3243
36	122	3201
37	124	3149
38	126	3108
39	127	3067
40	129	3027
41	131	2991
42	132	2954
43	134	2926
44	136	2899
45	138	2878
46	140	2858
47	142	2830
48	144	2806
49	146	2787
50	148	2768
51	150	2751
52	153	2739
53	155	2724
54	157	2700
55	159	2690
56	161	2678
57	163	2658
58	165	2634
59	166	2612
60	168	2592
61	170	2574
62	172	2562
63	173	2541
64	175	2524
65	177	2505
66	178	2487
67	180	2468
68	181	2448
69	183	2432
70	184	2416
71	186	2403
72	188	2387
73	189	2375
74	191	2362
75	193	2348
76	194	2334
77	196	2319
78	197	2306
79	199	2294
80	201	2281
81	202	2270
82	205	2267
83	206	2255
84	208	2243
85	209	2230
86	211	2216
87	212	2205
88	214	2192
89	215	2183
90	217	2174
91	219	2170
92	221	2161
93	223	2153
94	225	2144
95	227	2138
96	228	2131
97	230	2122
98	232	2112
99	233	2101
100	235	2097
101	237	2091
102	239	2083
103	240	2075
104	242	2065
105	244	2058
106	245	2049
107	246	2039
108	248	2030
109	249	2020
110	251	2014
111	253	2007
112	254	2000
113	256	1992
114	257	1984
115	259	1978
116	260	1969
117	262	1961
118	263	1953
119	265	1945
120	267	1945
121	269	1939
122	271	1933
123	272	1926
124	274	1920
125	275	1913
126	277	1908
127	279	1903
128	281	1897
129	282	1891
130	284	1884
131	285	1877
132	286	1869
133	288	1863
134	289	1856
135	291	1849
136	292	1843
137	294	1837
138	295	1831
139	297	1825
140	298	1818
141	300	1814
142	301	1808
143	303	1803
144	304	1796
145	306	1791
146	307	1786
147	309	1780
148	310	1775
149	312	1769
150	313	1764
151	315	1758
152	317	1754
153	318	1750
154	320	1745
155	321	1739
156	322	1734
157	324	1729
158	326	1724
159	327	1720
160	329	1714
161	330	1709
162	332	1705
163	333	1701
164	335	1697
165	336	1692
166	338	1687
167	339	1683
168	341	1678
169	342	1673
170	344	1668
171	345	1663
172	346	1658
173	348	1653
174	350	1650
175	351	1646
176	353	1642
177	354	1637
178	356	1633
179	357	1629
180	358	1624
181	360	1619
182	361	1615
183	363	1611
184	365	1609
185	366	1605
186	368	1600
187	369	1596
188	371	1592
189	372	1588
190	373	1583
191	375	1579
192	376	1575
193	378	1571
194	379	1567
195	381	1565
196	383	1563
197	385	1560
198	386	1557
199	388	1554
200	390	1550
201	391	1546
202	393	1543
203	394	1539
204	396	1535
205	397	1532
206	399	1531
207	401	1528
208	403	1525
209	404	1521
210	405	1517
211	407	1514
212	408	1511
213	410	1507
214	411	1503
215	413	1501
216	415	1497
217	416	1494
218	418	1490
219	419	1487
220	421	1484
221	422	1480
222	424	1477
223	425	1474
224	426	1470
225	428	1467
226	430	1464
227	431	1461
228	432	1457
229	434	1454
230	435	1450
231	437	1447
232	438	1444
233	440	1441
234	441	1438
235	443	1434
236	444	1431
237	446	1430
238	448	1426
239	449	1423
240	451	1421
241	452	1417
242	454	1414
243	455	1411
244	457	1409
245	459	1407
246	460	1404
247	462	1402
248	463	1399
249	465	1396
250	466	1393
251	468	1390
252	470	1388
253	471	1385
254	473	1382
255	474	1379
256	476	1376
257	478	1374
258	479	1372
259	481	1370
260	483	1367
261	484	1365
262	485	1361
263	487	1358
264	488	1355
265	490	1352
266	491	1350
267	494	1349
268	496	1348
269	497	1346
270	499	1343
271	500	1340
272	502	1337
273	503	1334
274	505	1331
275	506	1328
276	507	1325
277	509	1322
278	511	1320
279	512	1318
280	514	1315
281	515	1312
282	517	1310
283	519	1309
284	521	1308
285	522	1305
286	524	1303
287	526	1300
288	528	1299
289	529	1296
290	530	1293
291	532	1290
292	533	1287
293	534	1284
294	536	1281
295	537	1278
296	539	1276
297	540	1273
298	542	1270
299	544	1269
300	545	1267
301	547	1265
302	548	1262
303	550	1260
304	551	1257
305	553	1254
306	554	1252
307	556	1249
308	557	1247
309	559	1245
310	561	1243
311	562	1240
312	564	1238
313	565	1235
314	566	1232
315	568	1230
316	569	1227
317	571	1225
318	572	1222
319	574	1220
320	576	1218
321	577	1216
322	579	1214
323	581	1212
324	582	1209
325	583	1207
326	585	1204
327	586	1202
328	588	1199
329	589	1197
330	591	1194
331	592	1193
332	594	1190
333	595	1188
334	597	1185
335	598	1183
336	600	1181
337	601	1178
338	603	1176
339	604	1173
340	606	1171
341	607	1169
342	609	1166
343	610	1164
344	612	1162
345	613	1160
346	615	1157
347	616	1155
348	618	1152
349	619	1150
350	621	1148
351	622	1146
352	624	1144
353	626	1142
354	627	1140
355	628	1137
356	630	1135
357	631	1133
358	633	1131
359	634	1128
360	636	1126
361	637	1124
362	639	1121
363	641	1120
364	642	1118
365	644	1116
366	646	1114
367	647	1112
368	649	1109
369	650	1107
370	652	1105
371	653	1103
372	655	1101
373	657	1100
374	658	1097
375	660	1096
376	662	1094
377	663	1092
378	665	1089
379	666	1087
380	668	1085
381	669	1083
382	670	1080
383	672	1078
384	674	1076
385	675	1074
386	677	1072
387	678	1070
388	680	1068
389	681	1066
390	683	1064
391	684	1061
392	686	1059
393	687	1057
394	689	1056
395	691	1054
396	693	1052
397	694	1050
398	696	1049
399	698	1048
400	700	1046
401	701	1044
402	703	1042
403	705	1041
404	708	1041
405	711	1040
406	713	1039
407	715	1038
408	717	1036
409	718	1034
410	720	1032
411	722	1030
412	724	1029
413	725	1027
414	727	1025
415	729	1023
416	730	1021
417	732	1019
418	734	1018
419	735	1016
420	737	1014
421	739	1012
422	741	1010
423	743	1009
424	745	1008
425	746	1006
426	748	1004
427	750	1002
428	751	1000
429	753	998
430	755	997
431	757	996
432	760	995
433	763	995
434	765	993
435	766	991
436	768	989
437	769	987
438	771	986
439	773	984
440	775	982
441	776	980
442	778	978
443	779	976
444	781	974
445	783	973
446	787	973
447	789	972
448	791	971
449	793	970
450	795	968
451	797	967
452	799	965
453	800	963
454	803	962
455	805	960
456	807	959
457	808	957
458	810	955
459	812	953
460	813	951
461	815	949
462	817	948
463	819	946
464	821	944
465	822	943
466	824	940
467	826	939
468	827	937
469	829	935
470	831	933
471	832	931
472	834	929
473	835	927
474	837	925
475	839	923
476	840	921
477	842	919
478	843	917
479	845	915
480	846	913
481	848	911
482	849	909
483	851	907
484	853	906
485	855	904
486	856	902
487	858	900
488	859	898
489	861	896
490	862	894
491	864	892
492	866	890
493	867	888
494	869	886
495	870	885
496	872	883
497	873	880
498	875	878
499	876	876
500	878	874
501	879	872
502	881	870
503	883	869
504	885	867
505	886	865
506	888	864
507	890	862
508	891	860
509	893	858
510	894	856
511	896	854
512	898	852
513	900	851
514	901	849
515	902	846
516	904	844
517	905	842
518	907	840
519	908	838
520	910	836
521	911	834
522	913	832
523	914	830
524	916	828
525	917	826
526	919	824
527	920	822
528	922	820
529	923	819
530	925	817
531	926	815
532	928	813
533	929	811
534	931	809
535	932	807
536	934	805
537	935	803
538	937	801
539	939	799
540	940	797
541	942	796
542	943	794
543	945	792
544	947	790
545	949	789
546	951	787
547	953	786
548	955	784
549	957	783
550	958	781
551	960	779
552	962	778
553	964	776
554	966	774
555	968	773
556	969	771
557	971	769
558	973	767
559	975	766
560	976	764
561	979	763
562	981	761
563	984	761
564	986	759
565	988	758
566	990	756
567	992	754
568	994	753
569	996	751
570	998	750
571	1002	749
572	1004	748
573	1006	746
574	1007	744
575	1009	742
576	1010	741
577	1012	739
578	1014	737
579	1016	735
580	1017	733
581	1019	732
582	1020	730
583	1022	728
584	1024	726
585	1025	724
586	1027	722
587	1028	720
588	1030	719
589	1032	717
590	1033	715
591	1035	713
592	1036	711
593	1038	709
594	1040	708
595	1041	706
596	1043	704
597	1045	702
598	1046	700
599	1048	699
600	1050	697
601	1051	695
602	1053	693
603	1055	691
604	1056	689
605	1058	688
606	1059	686
607	1061	684
608	1063	682
609	1064	680
610	1066	679
611	1068	677
612	1069	675
613	1071	673
614	1073	671
615	1074	670
616	1076	668
617	1078	666
618	1080	664
619	1081	663
620	1083	661
621	1085	659
622	1087	657
623	1088	656
624	1090	654
625	1092	652
626	1093	650
627	1096	649
628	1098	647
629	1099	645
630	1101	644
631	1103	642
632	1105	640
633	1107	639
634	1108	637
635	1110	635
636	1112	633
